sampleid,strandedness
GSM2231158,ISF
NWD-24-NS,ISR
ERS2166507,IU
NWD-33-SCC,ISR
GSM3567649,ISR
GSM1409349,IU
GSM3567654,ISR
GSM3567696,ISR
GSM3029039,IU
GSM4725990,ISR
GSM4725986,ISR
ERS1721586,IU
GSM3567674,ISR
GSM3034569,ISR
GSM4725992,ISR
Lee-100-SCC,IU
Lee-93-SCC,IU
GSM2231164,ISF
GSM2231175,IU
NWD-34-NS,ISR
GSM2231171,ISF
GSM3029054,IU
GSM3029033,IU
GSM3034573,ISR
GSM2231168,IU
GSM3567691,ISR
ERS1721603,ISR
GSM3034575,ISR
GSM3567670,ISR
ERS2166500,IU
GSM3029038,IU
GSM3029045,IU
GSM1409342,IU
GSM3029037,IU
ERS2166488,IU
ERS2166499,IU
GSM3567692,ISR
GSM4142621,ISR
GSM3567673,ISR
ERS2166493,IU
Lee-100-NS,IU
GSM4725966,ISR
GSM3567707,ISR
GSM4142608,ISR
ERS1721607,IU
GSM3567697,ISR
GSM4142617,ISR
Lee-82-NS,IU
GSM3567703,ISR
GSM3034578,ISR
GSM2231172,ISF
GSM4725987,ISR
GSM2231176,IU
GSM4725972,ISR
GSM3567663,ISR
GSM3029050,IU
GSM4725993,ISR
GSM4725980,ISR
GSM3029052,IU
Lee-93-NS,IU
GSM4142619,ISR
ERS1721601,ISR
ERS1721597,IU
GSM3567694,ISR
GSM3567657,ISR
ERS1721590,IU
GSM1409343,IU
ERS1721585,IU
NWD-34-SCC,ISR
GSM2231173,ISF
GSM2231166,IU
ERS2166501,IU
GSM2231181,IU
GSM3567645,ISR
ERS1721592,IU
GSM4725984,ISR
GSM3684935,SR
GSM3567667,ISR
GSM3567641,ISR
GSM3567656,ISR
ERS2166494,IU
GSM3029040,IU
ERS1721602,ISR
GSM3567677,ISR
GSM1409336,IU
GSM3034577,ISR
ERS2166503,IU
NWD-44-AK,ISR
GSM4725981,ISR
GSM3567706,ISR
GSM3034580,ISR
ERS2166511,IU
GSM1409352,IU
GSM3567653,ISR
NWD-16-SCC,ISR
Li-P1-N,IU
GSM3567689,ISR
ERS1721606,IU
GSM3034586,ISR
GSM4142620,ISR
GSM4142612,ISR
GSM3567688,ISR
NWD-32-AK,ISR
ERS2166510,IU
NWD-16-AK,ISR
GSM3029034,IU
GSM1409354,IU
GSM3567648,ISR
GSM3029053,IU
GSM4725991,ISR
GSM4725970,ISR
GSM2231159,ISF
GSM4142613,ISR
GSM3567672,ISR
GSM4725983,ISR
GSM4725968,ISR
GSM3567687,ISR
GSM3034582,ISR
ERS1721596,IU
ERS2166491,IU
NWD-33-NS,ISR
GSM3567640,ISR
ERS1721604,ISR
GSM3034587,ISR
Lee-82-SCC,IU
GSM3567675,ISR
ERS2166496,IU
GSM3029044,IU
GSM3029043,IU
GSM3567651,ISR
GSM3567693,ISR
ERS1721589,IU
Li-P7-T,IU
GSM2231177,IU
GSM3567704,ISR
GSM3029036,IU
ERS2166495,IU
GSM3567671,ISR
NWD-45-SCC,ISR
GSM1409335,IU
GSM4725985,ISR
GSM3567643,ISR
GSM3029048,IU
ERS1721587,IU
GSM2231180,IU
GSM2231178,IU
GSM3567695,ISR
GSM3567686,ISR
GSM3567679,ISR
GSM1409345,IU
Li-P8-N,IU
GSM3034570,ISR
GSM3567685,ISR
GSM4142622,ISR
GSM3567683,ISR
GSM3029051,IU
GSM3684931,SR
GSM3567684,ISR
GSM3567662,ISR
GSM4725965,ISR
GSM4725988,ISR
NWD-29-SCC,ISR
Li-P4-T,IU
ERS1721600,IU
GSM1409344,IU
GSM4725977,ISR
GSM3029032,IU
GSM3029047,IU
GSM3029041,IU
GSM3684933,SR
GSM4725971,ISR
GSM4142616,ISR
ERS1721594,IU
GSM3684934,SR
GSM4725978,ISR
GSM1409340,IU
GSM3567705,ISR
ERS1721591,IU
ERS1721608,IU
GSM2231162,ISF
GSM4725975,ISR
GSM3567652,ISR
GSM3567660,ISR
GSM4725973,ISR
Li-P1-T,IU
GSM3567650,ISR
GSM4725979,ISR
Li-P2-T,IU
GSM3029046,IU
GSM2231179,IU
GSM3567644,ISR
GSM2231182,IU
GSM4142607,ISR
GSM3034579,ISR
GSM4142618,ISR
NWD-29-AK,ISR
GSM3567669,ISR
NWD-16-NS,ISR
ERS1721598,IU
